"AvneetBrar"
"1" "Jodi Gram"
"2" "Christa Eniojukan"
"3" "Mike McKay"
"4" "Nicholas Sciria"
"5" "Ryan"
"6" "Ben Falk"
"7" "NCAA March Madness"
"8" "Kayla Gordon"
"9" "Connor Jay"
"10" "Liette Masse"
"11" "Dave Taylor"
"12" "Bryce Tully"
"13" "U SPORTS Basketball"
"14" "emma platner"
"15" "Tony Bryce VIUwbb"
"16" "Wendy Lee D Maffia"
"17" "Brittany McPhee"
"18" "Maggie Lucas"
"19" "Justin Shankaran"
"20" "Dropbox"
"21" "JT Ward"
"22" "Gary Ahuja"
"23" "Karl Yu"
"24" "The Chosen Khan"
"25" "Scott McKenzie"
"26" "Ashley Hayes"
"27" "Curtis McRae"
"28" "BC Hoop Scoop Girls"
"29" "Paige Crozon"
"30" "Ryan Watters"
"31" "Jake Cowley"
"32" "Brianne Christensen"
"33" "Tricia Cowley"
"34" "Darren Rowell"
"35" "Dylan Ferguson"
"36" "BC United- Bluestar"
"37" "Bearcat Athletics"
"38" "Jenny Boucek"
"39" "Jim Hayford"
"40" "Jon Schmidt"
"41" "Mikaela Brewer"
"42" "Joe Raso"
"43" "Catherine Traer"
"44" "Joel Embiid"
"45" "David Grundman"
"46" "lululemon men"
"47" "lululemon"
"48" "Bill Simmons"
"49" "Jason Christensen"
"50" "Del Komarniski"
"51" "Canada Jetlines"
"52" "Michele O'Keefe"
"53" "James Fraschilla"
"54" "Dana Santas CSCS"
"55" "Doug Eberhardt"
"56" "Jamal Crawford"
"57" "Clint Parks"
"58" "Luke Bornn"
"59" "Ball Don't Stop"
"60" "Alex Rucker"
"61" "Chillin in my Bacta"
"62" "Brand"
"63" "Nayo Raincock-Ekunwe"
"64" "Scott Morrison"
"65" "What Drives Winning"
"66" "lauren yearwood"
"67" "Frank Martin"
"68" "Amanda Thompson"
"69" "New York Liberty"
"70" "Mark Edwards"
"71" "Alisha Tatham"
"72" "Patrick Tatham"
"73" "Los Angeles Sparks"
"74" "Nirra Fields èÕ ˙b èﬁ"
"75" "Jacki Gemelos"
"76" "Coach Jody Wynn"
"77" "WNBA"
"78" "NanaimoNewsNOW.com"
"79" "Sasha Palmer"
"80" "RogersHelps"
"81" "Navigator"
"82" "Robert Sacre"
"83" "73-9 and they LIED"
"84" "Cole Schisler"
"85" "Scott Edwards"
"86" "David DeAveiro"
"87" "Aaron Mitchell"
"88" "BC AAA Girls BBall"
"89" "BC AA Girls BBall"
"90" "BC Jr Boys BBall"
"91" "Gil Cheung"
"92" "Kirby Schepp"
"93" "Elena Delle Donne"
"94" "Geoff Pippus"
"95" "Denise Dignard"
"96" "Emily O'Neill"
"97" "Skylar Diggins-Smith"
"98" "Ellen Fallis"
"99" "Jenna Fischer"
"100" "Ashley Corral"
"101" "Heather Corral"
"102" "denv"
"103" "Usama Zaid"
"104" "Deb"
"105" "jessica"
"106" "Mike Neighbors"
"107" "Diane Christensen"
"108" "Geroy Simon"
"109" "king kelli"
"110" "Isaiah Thomas"
"111" "kayli sartori"
"112" "taylor claggett"
"113" "IN THE LAB"
"114" "Gurman Bhangu"
"115" "Sarah McChesney"
"116" "SMUS Sr. B-Ball"
"117" "Jalen Schlegel"
"118" "Bal Dhillon"
"119" "Nicole Kornet"
"120" "Paulina Hersler"
"121" "stephanie white"
"122" "Chris Densmore"
"123" "Synergy Sports Tech"
"124" "Alexis Morgan"
"125" "bcprep"
"126" "The Basketball Dictionary"
"127" "Coach Calls Timeout"
"128" "U SPORTS"
"129" "UConn Women's Hoops"
"130" "UBC Thunderbirds"
"131" "Carleton Ravens"
"132" "UCLA W. Basketball"
"133" "Shona"
"134" "Claire Meadows"
"135" "Jon Giesbrecht"
"136" "Riley Braich"
"137" "chantal vallee"
"138" "The Swet Haus"
"139" "Kate Head"
"140" "Chris Oliver"
"141" "Jalen Schlegel"
"142" "Danielle Rodriguez"
"143" "Malcolm Gladwell"
"144" "Bev Smith"
"145" "Sefu Bernard"
"146" "Moksha Yoga Nanaimo"
"147" "JP Clark"
"148" "Sydney Wiese"
"149" "Anne Marie Thuss"
"150" "Katherine Plouffe"
"151" "Jessica Gordon"
"152" "Miah-Marie Langlois"
"153" "C. Harvey"
"154" "Penny Oleksiak"
"155" "Bridget Carleton"
"156" "Adell Paul"
"157" "Mark Bayne"
"158" "Marek Klassen"
"159" "Basketball BC"
"160" "Taelor Karr"
"161" "Fran Fraschilla"
"162" "Jaylen Brown"
"163" "Lauren Jackson AO OLY"
"164" "Carly Clarke"
"165" "Earl J Watson"
"166" "Wave Papi"
"167" "Sunny Ahluwalia"
"168" "Damian Lillard"
"169" "Shawnee Harle"
"170" "emily potter"
"171" "Chris Oliver"
"172" "Fabian McKenzie"
"173" "Coach Nate Philippe"
"174" "Phil Beckner"
"175" "Jay Bilas Camp"
"176" "Peter Yannopoulos"
"177" "Darren Seaman"
"178" "Nike Basketball Camps"
"179" "Kelsey Plum"
"180" "Kelly Graves"
"181" "Brad Stevens"
"182" "Al Tuchscherer"
"183" "Drew Hanlen"
"184" "106.9 The Wolf"
"185" "Nanaimo Bulletin"
"186" "102.3 The Wave"
"187" "Paul Langford"
"188" "VKBasketball"
"189" "MarieLinePetit"
"190" "Jonathan Abrams"
"191" "Joe Enevoldson"
"192" "Mike Trudell"
"193" "Diana Taurasi"
"194" "Sue Bird"
"195" "Brian Jonker"
"196" "Kia Nurse"
"197" "Roy Rana"
"198" "Dawn Smyth"
"199" "Scott Rueck"
"200" "UBC Women's Bball"
"201" "Montell"
"202" "Jamie Scott"
"203" "ruth hamblin"
"204" "Joshua Whitty"
"205" "Laura Dally"
"206" "Blake Griffin"
"207" "BC 3A Boys BBall"
"208" "BC 4A Boys BBall"
"209" "Capilano Blues"
"210" "Canada West"
"211" "grant campbell"
"212" "James Derouin"
"213" "Yahoo Sports NBA"
"214" "Michael MacKay"
"215" "PickandPop"
"216" "Marc J. Spears"
"217" "Michael Lee"
"218" "nanaya0419"
"219" "VIU"
"220" "Garaline Tomahawk"
"221" "UFV Cascades"
"222" "Courtney Gerwing"
"223" "HWSS Events"
"224" "Birdseyeview7"
"225" "Coach Jeff Aldham"
"226" "Yash Zandiyeh"
"227" "<U+0634><U+0647><U+062F> <U+0627><U+0628><U+0648><U+0631><U+0643><U+064A><U+0628><U+0629><U+2763><U+FE0F>"
"228" "Lizanne Murphy"
"229" "Coach Dan"
"230" "kate service"
"231" "Kelsey Johnson"
"232" "Shea Serrano"
"233" "Landon Cosby"
"234" "Jared Barrett"
"235" "Camosun Chargers"
"236" "DouglasRoyalsWBB"
"237" "Scottmarr@me.com"
"238" "Paul Marr"
"239" "Lindsey Wilson"
"240" "Positive Performance"
"241" "Michael Morgan"
"242" "Natalie Achonwa"
"243" "Shelby"
"244" "Maddy Dawson"
"245" "Dani Sinclair"
"246" "Greg Youncofski"
"247" "Barbara Thomas"
"248" "Quest Kermodes"
"249" "Michelle Plouffe"
"250" "<ed><U+00A0><U+00BC><ed><U+00BC><U+00BB>Nefertiti<ed><U+00A0><U+00BC><ed><U+00BC><U+00BB>"
"251" "Frances Kaminski"
"252" "Simrann"
"253" "Langara Falcons"
"254" "Bill McWhinnie"
"255" "Amanda Dodds"
"256" "Kim Smith Gaucher"
"257" "Jerry Seinfeld"
"258" "Eric Konkol"
"259" "Courtney Charles"
"260" "Lisa Thomaidis"
"261" "Five-Star Basketball"
"262" "Impact Basketball"
"263" "Brad Thornhill"
"264" "David Petroziello"
"265" "Better Basketball"
"266" "Allison McNeill"
"267" "Marshall Cook"
"268" "Dave Severns"
"269" "Matthew Boulton"
